---,StaticMesh,Transform,CollisionClass,CollisionSphereRadius,CollisionBoxExtent,CollisionCapsuleRadius,CollisionCapsuleHalfHeight,MaxSpeed,InitialSpeed,GravityScale,Damage,LifeSpan,NiagaraEffectTableRowHandle,ParticleEffectTableRowHandle
Monster_PlayerAlert,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',1000,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,0,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_CatchItem,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',90,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,0,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_Arrow,/Script/Engine.StaticMesh'/Game/Resources/Item/Weapon/Arrow_020/Weapon_Arrow_020.Weapon_Arrow_020',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=45.000000,Y=45.000000,Z=45.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',20,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,1000,1000,0.2,1,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_LynelAttack,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',84,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,5,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_LynelExplosion,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',750,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,5,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_LynelFire,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',32,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,1000,1000,0.1,5,3,"(DataTable=""/Script/Engine.DataTable'/Game/Data/EffectData/DT_NiagaraEffect.DT_NiagaraEffect'"",RowName=""Fire_Small_Simple"")","(DataTable=None,RowName="""")"
Monster_LynelArrow,/Script/Engine.StaticMesh'/Game/Resources/Item/Weapon/Arrow_020/Weapon_Arrow_020.Weapon_Arrow_020',"(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=60.000000,Y=60.000000,Z=60.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',25,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,1499,1500,0.1,1,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_HinoxAttack,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',100,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,1,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_HinoxGrab,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',64,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,0,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
Monster_HinoxHipDrop,None,"(Rotation=(X=0.000000,Y=0.000000,Z=0.000000,W=1.000000),Translation=(X=0.000000,Y=0.000000,Z=0.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000))",/Script/CoreUObject.Class'/Script/Engine.SphereComponent',400,"(X=32.000000,Y=32.000000,Z=32.000000)",22,44,0,0,0,2,3,"(DataTable=None,RowName="""")","(DataTable=None,RowName="""")"
